raceId,driverId,position,odds
200,75,21,22-21
200,73,22,22-22
201,57,1,21-1
201,14,2,21-2
201,35,3,21-3
201,23,4,21-4
201,71,5,21-5
201,56,6,21-6
201,25,7,21-7
201,21,8,21-8
201,30,9,21-9
201,49,10,21-10
201,55,11,21-11
201,65,12,21-12
201,22,13,21-13
201,15,14,21-14
201,68,15,21-15
201,44,16,21-16
201,63,17,21-17
201,64,18,21-18
201,50,19,21-19
201,75,20,21-20
201,74,21,21-21
203,57,1,22-1
203,14,2,22-2
203,71,3,22-3
203,30,4,22-4
203,56,5,22-5
203,35,6,22-6
203,21,7,22-7
203,23,8,22-8
203,49,9,22-9
203,55,10,22-10
203,25,11,22-11
203,65,12,22-12
203,15,13,22-13
203,22,14,22-14
203,44,15,22-15
203,64,16,22-16
203,50,17,22-17
203,63,18,22-18
203,68,19,22-19
203,73,20,22-20
203,75,21,22-21
203,74,22,22-22
207,35,1,22-1
207,49,2,22-2
207,30,3,22-3
207,14,4,22-4
207,56,5,22-5
207,57,6,22-6
207,65,7,22-7
207,55,8,22-8
207,44,9,22-9
207,77,10,22-10
207,22,11,22-11
207,23,12,22-12
207,78,13,22-13
207,21,14,22-14
207,79,15,22-15
207,75,16,22-16
207,15,17,22-17
207,63,18,22-18
207,76,19,22-19
207,71,20,22-20
207,50,21,22-21
207,64,22,22-22
208,35,1,22-1
208,30,2,22-2
208,77,3,22-3
208,57,4,22-4
208,44,5,22-5
208,55,6,22-6
208,21,7,22-7
208,49,8,22-8
208,71,9,22-9
208,23,10,22-10
208,22,11,22-11
208,14,12,22-12
208,65,13,22-13
208,56,14,22-14
208,75,15,22-15
208,64,16,22-16
208,15,17,22-17
208,79,18,22-18
208,78,19,22-19
208,76,20,22-20
208,50,21,22-21
208,63,22,22-22
209,35,1,22-1
209,49,2,22-2
209,44,3,22-3
209,30,4,22-4
209,22,5,22-5
209,23,6,22-6
209,56,7,22-7
209,65,8,22-8
209,21,9,22-9
209,14,10,22-10
209,55,11,22-11
209,77,12,22-12
209,71,13,22-13
209,78,14,22-14
209,76,15,22-15
209,50,16,22-16
209,57,17,22-17
209,15,18,22-18
209,63,19,22-19
209,75,20,22-20
209,79,21,22-21
209,64,22,22-22
210,35,1,22-1
210,49,2,22-2
210,30,3,22-3
210,44,4,22-4
210,23,5,22-5
210,21,6,22-6
210,65,7,22-7
210,57,8,22-8
210,56,9,22-9
210,14,10,22-10
210,77,11,22-11
210,78,12,22-12
210,22,13,22-13
210,55,14,22-14
210,71,15,22-15
210,76,16,22-16
210,64,17,22-17
210,75,18,22-18
210,63,19,22-19
210,15,20,22-20
210,50,21,22-21
210,79,22,22-22
211,49,1,22-1
211,30,2,22-2
211,35,3,22-3
211,21,4,22-4
211,14,5,22-5
211,23,6,22-6
211,65,7,22-7
211,57,8,22-8
211,55,9,22-9
211,22,10,22-10
211,78,11,22-11
211,44,12,22-12
211,71,13,22-13
211,63,14,22-14
211,56,15,22-15
